"Provincia","Modalidad","Tipo recurso","Categoría","exp_fecapertura","Nombre establecimiento","Municipio","Dirección","C. Postal","Web","Nº Plazas"
"Badajoz","Café - Bar","I","--","2021-10-06","EL MANANTIAL","ALANGE","PASEO DE LAS HUERTAS, 46",,"NO",0
"Badajoz","Café - Bar","I","--","2006-05-17","GRAN HOTEL AQUALANGE","ALANGE","PASEO DE LAS HUERTAS, 2",6840,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","MESON TRINIDAD","ALANGE","CALLE ENCOMIENDA, 51",6840,"NO",0
"Badajoz","Café - Bar","I","--","2020-09-18","PISCINA MUNICIPAL","ALANGE","PASEO HUERTA, 1",6840,"NO",0
"Badajoz","Café - Bar","I","--","1999-08-14","RETIRO HOGAR PENSIONISTA","ALANGE","CALLE DESCUBRIDORES, 8",6840,"NO",0
"Badajoz","Cafetería","II","1 Taza","2001-12-02","CAFETERIA DEL PARQUE","ALANGE","CALLE BAÑOS, 56",6840,"NO",54
"Badajoz","Pub","III","--","1990-09-27","DISCO BAR GUILLE","ALANGE","AVENIDA EXTREMADURA, 3",6840,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2018-05-30","BRASERIA VENTA EL CUERNO","ALANGE","CARRETERA MERIDA-ALANGE, POLIGONO 1, PARCELA 19 Y 20",6840,"NO",175
"Badajoz","Restaurante","II","1 Tenedor","2021-10-28","EL MANANTIAL","ALANGE","PASEO DE LAS HUERTAS, 46",6840,"NO",58
"Badajoz","Restaurante","II","1 Tenedor","2023-02-28","LA SINFOROSA","ALANGE","C/ NUEVA, 10",6840,"NO",25
"Badajoz","Restaurante","II","1 Tenedor","2004-06-16","PARADOR DE ALANGE","ALANGE","AVDA. JUAN CARLOS I, Nº 11",6840,"NO",40
"Badajoz","Salón de banquetes y convenciones","II","Básico","2009-01-12","GUILLE","ALANGE","AV. EXTREMADURA, 3",6840,"NO",455
"Badajoz","Café - Bar","I","--","1985-07-08","BAR NUEVO","ALBUERA (LA)","AVENIDA GRAL CASTAÑO, 13",6170,"NO",0
"Badajoz","Café - Bar","I","--","1997-12-09","BEER OIR & CATAR","ALBUERA (LA)","PLAZA ESPAÑA, 5",6170,"NO",0
"Badajoz","Café - Bar","I","--","1986-04-21","CECILIO","ALBUERA (LA)","AVENIDA GRAL. CASTAÑO",6170,"NO",0
"Badajoz","Café - Bar","I","--","1988-08-16","DON PEPE","ALBUERA (LA)","AVENIDA EXTREMADURA, 125",6170,"NO",0
"Badajoz","Café - Bar","I","--","1996-10-09","DON QUIJOTE","ALBUERA (LA)","CALLE REAL, 59",6170,"NO",0
"Badajoz","Café - Bar","I","--","2021-12-07","EL BADULAKE DE GUILLE","ALBUERA (LA)","C/ SAN JOSE, 18",6170,"NO",0
"Badajoz","Café - Bar","I","--","2022-10-07","EL MANITO","ALBUERA (LA)","C/ IGLESIA, 18",6170,"NO",0
"Badajoz","Café - Bar","I","--","2021-11-18","JUBILADOS BEACH CLUB","ALBUERA (LA)","IGLESIA, 5",6170,"NO",0
"Badajoz","Café - Bar","I","--","2019-10-16","LAS MIGAS DEL BARRI","ALBUERA (LA)","CTRA. VALVERDE S/N",6170,"NO",0
"Badajoz","Café - Bar","I","--","1996-04-21","LOS PEDROS","ALBUERA (LA)","AVENIDA EXTREMADURA, 54 (ANTES 82)",6170,"NO",0
"Badajoz","Café - Bar","I","--","1984-08-13","ROMERO","ALBUERA (LA)","AVENIDA GRAL CASTAÑO, 9",6170,"NO",0
"Badajoz","Pub","III","--","1994-06-19","CICLON","ALBUERA (LA)","CALLE REAL, 27",6170,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","1989-01-24","DON PEPE","ALBUERA (LA)","AVENIDA EXTREMADURA, 125",6170,"NO",77
"Badajoz","Restaurante","II","1 Tenedor","2019-01-11","PALACIO DE LINCE","ALBUERA (LA)","CTRA. BADAJOZ-GRANADA, KM. 23,300",6170,"NO",47
"Badajoz","Salón de banquetes y convenciones","II","Básico","2019-01-11","PALACIO DE LINCE","ALBUERA (LA)","CTRA. BADAJOZ-GRANADA, KM. 23,300",,"NO",375
"Badajoz","Catering","II","--","2005-09-28","MACHACO CATERING","ALBURQUERQUE","C/POZO DEL CONCEJO, 29",6510,"SÍ",0
"Badajoz","Restaurante","II","1 Tenedor","2005-04-13","ASADOR SAN BLAS","ALBURQUERQUE","C/ MAYORGA S/N POLIG. INDU. SAN BLAS",6510,"SÍ",50
"Badajoz","Restaurante","II","1 Tenedor","2006-07-17","EL FOGON DE SANTA MARIA","ALBURQUERQUE","C/SANTA MARIA, 1",6510,"SÍ",36
"Badajoz","Restaurante","II","1 Tenedor","2010-06-09","EL JUEGO DE LA BOLA","ALBURQUERQUE","Moreno Nieto, 18",6510,"SÍ",75
"Badajoz","Restaurante","II","2 Tenedores","2000-05-25","LOS CANTOS","ALBURQUERQUE","FINCA FINCA LOS CANTOS",6510,"SÍ",45
"Badajoz","Restaurante","II","2 Tenedores","1978-07-07","MACHACO","ALBURQUERQUE","CALLE POZO CONCEJO, 29",6510,"SÍ",40
"Badajoz","Salón de banquetes y convenciones","II","Básico","2007-12-21","SALON DE CELEBRACIONES ROLAN","ALBURQUERQUE","C/ MORENO NIETO, 18",6510,"SÍ",225
"Badajoz","Café - Bar","I","--","2004-05-24","ASADOR SAN BLAS","ALBURQUERQUE","MAYORGA S/N, POLIGONO IND. SAN BALS",6510,"NO",0
"Badajoz","Café - Bar","I","--","1997-05-26","BALANUS","ALBURQUERQUE","PLAZA ESPAÑA, 11",6510,"NO",0
"Badajoz","Café - Bar","I","--","2000-04-11","BOZAS FLORES","ALBURQUERQUE","CALLE POZO_CONCEJO, 29",6510,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","CASTILLO DE LUNA","ALBURQUERQUE","CARRETERA EX 110  PK. 34.500, 34",6510,"NO",0
"Badajoz","Café - Bar","I","--","1996-03-01","CASTILLO DE MEDIA LUNA","ALBURQUERQUE","CARRETERA BADAJOZ-ALCANTARA",6510,"NO",0
"Badajoz","Café - Bar","I","--","2007-09-03","EL CAFETIN","ALBURQUERQUE","PLAZA ESPAÑA, 2",6510,"NO",0
"Badajoz","Café - Bar","I","--","1998-12-20","EL PORTUGUES","ALBURQUERQUE","AVENIDA AURELIO CABRERA, 7 BAJO IZQUIERDA",6510,"NO",0
"Badajoz","Café - Bar","I","--","2000-11-09","EL RODEO","ALBURQUERQUE","CALLE LA FASEJA. POLIGON IND. SAN BLAS,  S/N",6510,"NO",0
"Badajoz","Café - Bar","I","--","2000-04-25","ESTACION DE SERVICIO ALBURQUERQUE S.A","ALBURQUERQUE","CARRETERA VALENCIA DE ALCANTARA-BADAJOZ K. 39",6510,"NO",0
"Badajoz","Café - Bar","I","--","1994-01-16","INSTI. CASTILLO DE LA LUNA","ALBURQUERQUE","CALLE HERRERUELA",6510,"NO",0
"Badajoz","Café - Bar","I","--","1999-09-12","JACQUE TROPIC","ALBURQUERQUE","CARRETERA C-530 VALENCIA -BADAJOZ K. 39",6510,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","JUEGO LA BOLA","ALBURQUERQUE","PLAZA MORENO NIETO, 12",6510,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","LA ANGARILLA","ALBURQUERQUE","CALLE HERNAN CORTES, 26",6510,"NO",0
"Badajoz","Café - Bar","I","--","1996-04-14","LA ERMITA","ALBURQUERQUE","PLAZA ESPAÑA, 15",6510,"NO",0
"Badajoz","Café - Bar","I","--","2018-05-18","LA ESTACIÓN","ALBURQUERQUE","AVENIDA DE LOS EMIGRANTES, 21",6510,"NO",0
"Badajoz","Café - Bar","I","--","2014-04-29","LA HIGUERA","ALBURQUERQUE","AVDA. EXTREMADURA, 28 BAJO",6510,"NO",0
"Badajoz","Café - Bar","I","--","2018-07-09","LA MARQUESITA","ALBURQUERQUE","C/ DOCTOR ALVAREZ DIAZ Nº4",6510,"NO",0
"Badajoz","Café - Bar","I","--","2008-05-13","LA PLAZA","ALBURQUERQUE","PLAZA ESPAÑA, 3",6510,"NO",0
"Badajoz","Café - Bar","I","--","2004-05-05","LA VALERIANA TAPAS Y CAFETERIA","ALBURQUERQUE","AURELIO CABRERA Nº 5 BJ",6510,"NO",0
"Badajoz","Café - Bar","I","--","2004-12-13","LOS CANTOS","ALBURQUERQUE","FINCA LOS CANTOS. APARTADO DE CORREOS Nº 15",6510,"NO",0
"Badajoz","Café - Bar","I","--","1993-06-21","MACARENO","ALBURQUERQUE","PLAZA ESPAÑA, 1",6510,"NO",0
"Badajoz","Café - Bar","I","--","1992-10-05","MACHACO","ALBURQUERQUE","CALLE POZO CONCEJO, 29",6510,"NO",0
"Badajoz","Café - Bar","I","--","1999-04-03","MARIA ANTONIETA","ALBURQUERQUE","CALLE SAN MATEO, 8",6510,"NO",0
"Badajoz","Café - Bar","I","--","2003-06-11","TAMARA","ALBURQUERQUE","AVDA. DE LOS EMIGRANTES Nº 42",6510,"NO",0
"Badajoz","Café - Bar","I","--","2010-08-19","TEGAMAR","ALBURQUERQUE","AURELIO CABRERA, 9",6510,"NO",0
"Badajoz","Pub","III","--","2006-07-17","EL FOGON DE SANTA MARIA","ALBURQUERQUE","C/SANTA MARIA, 1",6510,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2002-12-06","CASTILLO DE LUNA","ALBURQUERQUE","CARRETERA EX-110,   K. 3450",6510,"NO",150
"Badajoz","Restaurante","II","1 Tenedor","2000-10-22","EL RODEO","ALBURQUERQUE","CALLE FASEJAS (CTRA. HERRERUELA)",6510,"NO",63
"Badajoz","Restaurante","II","1 Tenedor","2010-08-19","TEGAMAR","ALBURQUERQUE","AURELIO CABRERA, 9",6510,"NO",115
"Badajoz","Restaurante","II","2 Tenedores","2019-01-10","BODEGA ENCINA BLANCA DE ALBURQUERQUE","ALBURQUERQUE","CTRA. HERRERUELA-ALBURQUERQUE, KM. 8,3 POL. 35 PARCELA 3",6510,"NO",37
"Badajoz","Salón de banquetes y convenciones","II","Básico","2021-02-03","MACHACO","ALBURQUERQUE","C/ POZO CONCEJO, 29",6510,"NO",225
"Badajoz","Café - Bar","I","--","2024-04-01","AVENIDA","ALCONCHEL","CTRA. BADAJOZ",6131,"NO",0
"Badajoz","Café - Bar","I","--","1999-07-26","EL TERRERO","ALCONCHEL","CORREDERA, 46  CON PLAZA DE ESAÑA, 1",6131,"NO",0
"Badajoz","Café - Bar","I","--","2000-07-09","KIOSCO FABIO","ALCONCHEL","PLAZA DE ESPAÑA",6131,"NO",0
"Badajoz","Café - Bar","I","--","1999-05-29","LA PISCINA","ALCONCHEL","CARRETERA BADAJOZ-VILLANUEVA, 8",6131,"NO",0
"Badajoz","Café - Bar","I","--","1984-10-01","PINTOS","ALCONCHEL","AVENIDA EXTREMADURA, 9",6131,"NO",0
"Badajoz","Café - Bar","I","--","1982-11-17","POLI","ALCONCHEL","CARRETERA BADAJOZ, 12",6131,"NO",0
"Badajoz","Café - Bar","I","--","1990-08-06","SALÓN CASA PLUMA","ALCONCHEL","C/ VIRGEN DE GUADALUPE, 2 (ANTES CON ENTRADA POR AVENIDA EXTREMADURA)",6131,"NO",0
"Badajoz","Pub","III","--","2010-06-09","CENTRO SOCIAL ENRIQUE TIERNO","ALCONCHEL","PLAZA ENRIQUE TIERNO GALVAN,  S/N",6131,"NO",0
"Badajoz","Pub","III","--","1998-12-07","EL RINCON DEL BOHEMIO","ALCONCHEL","CALLE CORREDERA, 43",6131,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","1992-10-25","POLI","ALCONCHEL","CARRETERA BADAJOZ, 12",6131,"NO",74
"Badajoz","Café - Bar","I","--","1999-08-15","CHICA","ALCONERA","PLAZA ESPAÑA, 9",6393,"NO",0
"Badajoz","Café - Bar","I","--","2008-01-15","CHISPI","ALCONERA","CTRA. ZAFRA-KEREZ Km. 11",6393,"NO",0
"Badajoz","Café - Bar","I","--","1985-03-29","IRIS","ALCONERA","CALLE SAN PEDRO, 21",6393,"NO",0
"Badajoz","Café - Bar","I","--","1989-05-30","LA CHARCA","ALCONERA","CALLE SAN PEDRO, 13",6393,"NO",0
"Badajoz","Café - Bar","I","--","2024-03-12","LA PISTA","ALCONERA","PLAZA DE ESPAÑA, 3",6393,"NO",0
"Badajoz","Pub","III","--","1993-01-13","PUB JM","ALCONERA","CALLE SAN PEDRO, 11",6393,"NO",0
"Badajoz","Café - Bar","I","--","1995-04-22","BAR SERGIO","ALJUCEN","C/ MAYOR, 1 (ANTES CALLE CACERES, 3)",6894,"NO",0
"Badajoz","Café - Bar","I","--","2020-02-18","EL PARQUE","ALJUCEN","PLAZA EXTREMADURA, 5 ANTES CALLE SAN ANDRES, 11",6894,"NO",0
"Badajoz","Café - Bar","I","--","2011-08-25","HOGAR DEL PENSIONISTA","ALJUCEN","MERIDA, 22",6894,"NO",0
"Badajoz","Café - Bar","I","--","2018-08-10","LA CANARIA","ALJUCEN","C/ VIA DE LA PLATA, 1 (RUFINO FELIX MORILLON, 1)",6894,"NO",0
"Badajoz","Cafetería","II","2 Tazas","2022-01-11","MONASTERIO DE ROCAMADOR","ALMENDRAL","CTRA. N- BADAJOZ-HUELVA, KM 41,100",6171,"SÍ",40
"Badajoz","Salón de banquetes y convenciones","II","Medio","2022-01-11","MONASTERIO DE ROCAMADOR","ALMENDRAL","CTRA. N- BADAJOZ-HUELVA, KM 41,100",6171,"SÍ",345
"Badajoz","Café - Bar","I","--","2010-06-09","ASTIGI","ALMENDRAL","CALLE JOSE S. FLORES, 14",6171,"NO",0
"Badajoz","Café - Bar","I","--","2024-02-05","CASA MARIQUITA","ALMENDRAL","NUESTRA SEÑORA DE GUADALUPE, 2",6171,"NO",0
"Badajoz","Café - Bar","I","--","2006-12-29","EL MESON DEL NEGRO","ALMENDRAL","PLAZA DE ESPAÑA Nº 12",6171,"NO",0
"Badajoz","Café - Bar","I","--","2024-10-25","HOGAR DEL PENSIONISTA EN ALMENDRAL","ALMENDRAL","C/ EJIDO TOVAR, 1",6171,"NO",0
"Badajoz","Café - Bar","I","--","2003-11-10","LOS ROSALES","ALMENDRAL","EGIDO THOVAR, 2 ANTES CTR. N-435, KM 33,800",6171,"NO",0
"Badajoz","Café - Bar","I","--","2021-03-02","TARANCÓN","ALMENDRAL","PILAR, 1",6171,"NO",0
"Badajoz","Restaurante","II","1 Tenedor","2003-02-06","ASTIGI","ALMENDRAL","CALLE JOSE S. FLORES, 14",6171,"NO",50
"Badajoz","Restaurante","II","1 Tenedor","2022-01-11","MONASTERIO DE ROCAMADOR","ALMENDRAL","CTRA. NACIONAL BADAJOZ-HUELVA, KM 41,100",6171,"NO",85
"Badajoz","Café - Bar","I","--","2018-02-23","ABAKUA","ALMENDRALEJO","CTRA. N-630 KM. 648",6200,"SÍ",0
"Badajoz","Café - Bar","I","--","2013-09-17","BRASERIA MUSEO DEL VINO","ALMENDRALEJO","C/ BADAJOZ, 6 - A",6200,"SÍ",0
"Badajoz","Café - Bar","I","--","1994-12-07","MANUELA COPAS","ALMENDRALEJO","C/ FRANCISCO PIZARRO, 17 (ANTES PLAZA HIERBA, 4)",6200,"SÍ",0
"Badajoz","Cafetería","II","1 Taza","2018-03-21","ABAKUA","ALMENDRALEJO","CTRA. N-630, KM. 648",6200,"SÍ",48
"Badajoz","Cafetería","II","1 Taza","2008-02-12","OLIVARES-PANORAMA","ALMENDRALEJO","PLAZA DE EXTREMADURA S/N",6200,"SÍ",100
"Badajoz","Cafetería","II","2 Tazas","1992-06-15","VETONIA","ALMENDRALEJO","CARRETERA N-630 K. 647",6200,"SÍ",74
"Badajoz","Restaurante","II","1 Tenedor","2018-03-22","ABAKUA","ALMENDRALEJO","CTRA. N 630, KM 648",6200,"SÍ",50
"Badajoz","Restaurante","II","1 Tenedor","2014-02-03","BURGER KING","ALMENDRALEJO","AVENIDA DE SEVILLA 140 A",6200,"SÍ",107
"Badajoz","Restaurante","II","1 Tenedor","2007-11-06","EL DANUBIO","ALMENDRALEJO","CARRETERA DE SEVILLA KM.253",6200,"SÍ",40
"Badajoz","Restaurante","II","1 Tenedor","1971-06-28","LA MASIA DE LA SILERA","ALMENDRALEJO","CARRETERA SEVILLA, 154",6200,"SÍ",80
"Badajoz","Restaurante","II","1 Tenedor","2003-10-14","LOS GONZALEZ","ALMENDRALEJO","ACEUCHAL, 140",6200,"SÍ",200
"Badajoz","Restaurante","II","1 Tenedor","2008-02-12","Ñ RESTAURANTE","ALMENDRALEJO","PLAZA DE EXTREMADURA S/N",6200,"SÍ",300
"Badajoz","Restaurante","II","1 Tenedor","2004-12-30","PIZZA ALMENDRALEJO","ALMENDRALEJO","EL PILAR, 82",6200,"SÍ",40
"Badajoz","Restaurante","II","2 Tenedores","1992-06-15","DON MANUEL","ALMENDRALEJO","CARRETERA N-630 K. 647",6200,"SÍ",460
"Badajoz","Restaurante","II","2 Tenedores","2004-03-12","EL MIAJON II","ALMENDRALEJO","C/ MECANICA 17-19",6200,"SÍ",83
"Badajoz","Salón de banquetes y convenciones","II","Básico","2018-03-22","ABAKUA","ALMENDRALEJO","CTRA. N 630, KM 648",6200,"SÍ",250
"Badajoz","Salón de banquetes y convenciones","II","Básico","2008-02-12","HOTEL ACOSTA CENTRO","ALMENDRALEJO","PLAZA DE EXTREMADURA S/N",6200,"SÍ",800
"Badajoz","Salón de banquetes y convenciones","II","Medio","2019-04-25","MARTINEZ PAIVA","ALMENDRALEJO","CTRA. N-630, KM. 646",6200,"SÍ",450
"Badajoz","Café - Bar","I","--","2016-04-26","100 MONTADITOS ","ALMENDRALEJO","AVENIDA DE LA PAZ, 38 CON ESQUINA CALLE MAGISTERIO, 10",6200,"NO",0
"Badajoz","Café - Bar","I","--","2010-02-23","20 A LA PORRA","ALMENDRALEJO","POLIGONO INDUSTRIAL, CALLE MECANICA, 13  B",6200,"NO",0
"Badajoz","Café - Bar","I","--","2009-05-05","AARON PARK","ALMENDRALEJO","FRAY ALONSO CABEZAS, 3",6200,"NO",0
"Badajoz","Café - Bar","I","--","2001-02-26","ADAN Y EVA","ALMENDRALEJO","CARRETERA SANTA MARTA, 66",6200,"NO",0
"Badajoz","Café - Bar","I","--","2003-05-08","AETRANS","ALMENDRALEJO","P. INDUSTRIAL, CALLE INDUSTRIA PARC G-14",6200,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","AITOR POOL","ALMENDRALEJO","CALLE LOPEZ DE AYALA, 12",6200,"NO",0
